identificador;casado_por;tipo_id;nome_sistema;classe_sistema;classe_base2;status;ativo_canonico_id
BRPRIOACNOR1;TICKER;ISIN;PRIO        ON      NM;Renda Variável;Renda Variável;CONCORDA;387a412c-ffeb-4a27-a47e-d09de80681fa
22918359000185;CNPJ;CNPJ;QUANTITAS MALLORCA FICFIM;Multimercado;Multimercado;CONCORDA;b0069e2e-a68a-46ba-9c26-54eb7dbf0150
BRRADLACNOR0;TICKER;ISIN;RAIADROGASILON      NM;Renda Variável;Renda Variável;CONCORDA;579c06f8-61b0-4cf2-bc20-837116cff2a8
BRRAIZACNPR6;TICKER;ISIN;RAIZEN      PN      N2;Renda Variável;Renda Variável;CONCORDA;0002f2c4-0033-4154-8808-baa830871711
34431415000131;CNPJ;CNPJ;ROOT CAPITAL HIGH YIELD FICFIM CrPr;Multimercado;Multimercado;CONCORDA;89a542ed-34c7-4cc1-8416-bd2a1cbc58b4
BRSAPRCDAM13;TICKER;ISIN;SANEPAR     UNT     N2;Renda Variável;Renda Variável;CONCORDA;ba7f4303-ae43-4cc5-a36c-f404fe45cdd7
BRSHULACNPR4;TICKER;ISIN;SCHULZ      PN;Renda Variável;Renda Variável;CONCORDA;263e4ec9-9411-4adc-a4ee-952381a4cc2f
BRSMFTACNOR1;TICKER;ISIN;SMART FIT   ON  EJ  NM;Renda Variável;Renda Variável;CONCORDA;71f508ab-49aa-4cb2-99fe-c03a2251d18e
34781162000126;CNPJ;CNPJ;SPX Seahawk Global FICFIM CrPr RL;Multimercado;Multimercado;CONCORDA;e834cb39-417f-42f1-b7f4-4d25b888c06a
BRSUZBACNOR0;TICKER;ISIN;SUZANO S.A. ON      NM;Renda Variável;Renda Variável;CONCORDA;48672058-e540-406d-bd68-11f863ef2b56
BRTAEECDAM10;TICKER;ISIN;TAESA       UNT     N2;Renda Variável;Renda Variável;CONCORDA;e9c63fd3-688f-40ec-bade-092b243aed79
BRTOTSACNOR8;TICKER;ISIN;TOTVS       ON      NM;Renda Variável;Renda Variável;CONCORDA;67154c9c-9c1c-4c14-9193-6163bc85f1ea
BRVALEACNOR0;TICKER;ISIN;VALE        ON      NM;Renda Variável;Renda Variável;CONCORDA;88539c8e-4b4b-4eda-b2b8-a461830b6907
BRVLIDACNOR5;TICKER;ISIN;VALID       ON      NM;Renda Variável;Renda Variável;CONCORDA;ef50fbca-e00d-4780-aa17-5d10bf382e78
BRVIVAACNOR0;TICKER;ISIN;VIVARA S.A. ON      NM;Renda Variável;Renda Variável;CONCORDA;bdd55cde-eb36-47e5-a3f1-477d5ca10529
BRWEGEACNOR0;TICKER;ISIN;WEG         ON      NM;Renda Variável;Renda Variável;CONCORDA;523d54c8-b175-48e4-b5d6-ff8530c4518b
09636393000107;CNPJ;CNPJ;BNP Paribas Match DI FIRF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;56a3aac9-2a1e-4f30-a7af-f38bab1d11a8
54996629000162;CNPJ;CNPJ;BTG Black Tesouro Selic Simples FIRF RL;Multimercado;Caixa;DIVERGE;6b566bb9-f149-4aa7-955d-f61f43b95c4b
27717359000130;CNPJ;CNPJ;BTG CDB Plus FIRF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;d233cf37-4897-425e-899a-1ed9c7695e24
30934757000113;CNPJ;CNPJ;BTG CRED CORP INCENTIVADO FICFIIIRF RL;FII-FIAgro;RF - Inflação;DIVERGE;aa9f435d-da2f-4ca5-a542-2c37504ece4f
29562673000117;CNPJ;CNPJ;BTG Digital Tesouro Selic Simples FIRF;Multimercado;Caixa;DIVERGE;22999329-6d58-496d-9efa-40710144ecfd
34096235000140;CNPJ;CNPJ;BTG PACTUAL DEBENTURES INC FICFIRF;Multimercado;RF - Inflação;DIVERGE;ade3a315-49df-43d5-abf0-fd6311853f1e
49343067000118;CNPJ;CNPJ;BTG PACTUAL ENERGY DB FIP INFRAESTRUTURA;Multimercado;RF - Inflação;DIVERGE;470a8a96-ae0d-4ba2-a0b2-e5f89915bce7
36727910000118;CNPJ;CNPJ;BTG REF OURO USD FICFIM;Multimercado;Alternativos;DIVERGE;4e4b212f-d3bb-4ad4-8f30-134469ae5746
00840011000180;CNPJ;CNPJ;BTG Yield DI FIRFRef CrPr;Multimercado;RF - Pós-fixado;DIVERGE;28ec9dc0-f9b5-4e4d-a7c7-aac2a86fc46e
10347493000194;CNPJ;CNPJ;BV BANKS FIRF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;259ef5ca-586b-431d-b2b2-56ca70a6cdf3
35408329000170;CNPJ;CNPJ;COMPASS CREDIT SELEC FICFIRF CrPr LP;Multimercado;RF - Pós-fixado;DIVERGE;192a1437-ee70-4395-ba84-14624fa88949
59079948000127;CNPJ;CNPJ;DAYCOVAL SUBCLASSE TOP JUROS ATIVO FIF;Multimercado;RF - Pós-fixado;DIVERGE;a6035307-b8b1-42f3-baf6-e38d6eadf89f
22652091000182;CNPJ;CNPJ;EMPIRICA LOTUS IPCA FICFIM;Multimercado;RF - Inflação;DIVERGE;52bbfbdc-ffb0-4255-b6a7-a58ab25c7206
BRQQQICTF009;TICKER;ISIN;ETF BV QQQI CI;Renda Variável;Internacional - Renda Variável;DIVERGE;8e748019-7e24-4b0e-a4eb-e64ed287af71
BRBTAGCTF003;TICKER;ISIN;FIAGRO BTAG CI  ER;Renda Variável;FII-FIAgro;DIVERGE;03907639-af47-4afd-a86e-8e331c3fe175
BRSNAGCTF000;TICKER;ISIN;FIAGRO SUNO CI;Renda Variável;FII-FIAgro;DIVERGE;2b77ee9d-7e5f-4611-b334-6ff8c52e27ca
BRBODBCTF009;TICKER;ISIN;FIC FI BCNA CI  ER;Renda Variável;FII-FIAgro;DIVERGE;1fb67002-fc18-4cbc-a8c7-105d6dc783e4
BRCPTICTF005;TICKER;ISIN;FIC IE CAP  CI  ER;Renda Variável;FII-FIAgro;DIVERGE;740408a7-ad59-4903-abd6-8e53cbc8f3f2
BRRZATCTF009;TICKER;ISIN;FII ARCTIUM CI;Renda Variável;FII-FIAgro;DIVERGE;dfbf98bc-823b-4300-ac27-a80fa2e57ea8
BRBRCRCTF000;TICKER;ISIN;FII BC FUND CI  ER;Renda Variável;FII-FIAgro;DIVERGE;914178ab-2cd6-4d64-8346-d9391985efb5
BRBRCOCTF007;TICKER;ISIN;FII BRESCO  CI  ER;Renda Variável;FII-FIAgro;DIVERGE;f434e468-c9ca-41ce-83a8-676e43a3b98d
BRBTCICTF005;TICKER;ISIN;FII BTG CRI CI  ER;Renda Variável;FII-FIAgro;DIVERGE;a334191b-689d-4647-bb94-e064b30d1c58
BRBTHFCTF000;TICKER;ISIN;FII BTHF    CI  ER;Renda Variável;FII-FIAgro;DIVERGE;c197d403-6539-430c-b1b6-b23084078c22
BRBTLGCTF000;TICKER;ISIN;FII BTLG    CI;Renda Variável;FII-FIAgro;DIVERGE;59a6022b-1dbf-47fd-9396-9dd1eba55063
BRCPTSCTF004;TICKER;ISIN;FII CAPI SECCI;Renda Variável;FII-FIAgro;DIVERGE;e6e92ad7-efd5-48a2-840e-e42cee597e95
BRCNESCTF001;TICKER;ISIN;FII CENESP  CI;Renda Variável;FII-FIAgro;DIVERGE;3a36fedf-7f49-4ac9-98ec-631020116401
BRDEVACTF000;TICKER;ISIN;FII DEVANT  CI  ER;Renda Variável;FII-FIAgro;DIVERGE;d8cd49ef-c145-4446-ac4c-f99de00102d3
BRGTWRCTF003;TICKER;ISIN;FII G TOWERSCI  ER;Renda Variável;FII-FIAgro;DIVERGE;1136be1d-e6ea-4347-b82b-a09f822ebf4e
BRGGRCCTF002;TICKER;ISIN;FII GGR ZAG CI  ER;Renda Variável;FII-FIAgro;DIVERGE;90197027-3df6-4c73-b796-99762180abbd
BRGARECTF001;TICKER;ISIN;FII GUARDIANCI  ER;Renda Variável;FII-FIAgro;DIVERGE;42b37aed-79cf-4c7f-86ca-6ab4f46c88a7
BRHGBSCTF000;TICKER;ISIN;FII HEDGEBS CI  ER;Renda Variável;FII-FIAgro;DIVERGE;a524f8d4-4c20-476a-8e03-639e8587c821
BRHGLGCTF004;TICKER;ISIN;FII HGLG PAXCI  ER;Renda Variável;FII-FIAgro;DIVERGE;b888cc94-dc06-492f-81c2-774e61a08274
BRHGRUCTF002;TICKER;ISIN;FII HGRU PAXCI  ERS;Renda Variável;FII-FIAgro;DIVERGE;6ab0ba9a-2cba-4d37-b940-830dd7e3b2e4
BRHSMLCTF007;TICKER;ISIN;FII HSI MALLCI  ER;Renda Variável;FII-FIAgro;DIVERGE;4780474d-b5d2-4e5a-a909-b3633047e3fa
BRHFOFCTF002;TICKER;ISIN;FII HTOPFOF3CI  ER;Renda Variável;FII-FIAgro;DIVERGE;be518ad2-2412-41c8-805b-599a4fdf4ad1
BRKNHYCTF005;TICKER;ISIN;FII KINEA HYCI  ER;Renda Variável;FII-FIAgro;DIVERGE;aa21b9db-f333-4672-b6e5-559fafa095fd
BRKNIPCTF001;TICKER;ISIN;FII KINEA IPCI  ER;Renda Variável;FII-FIAgro;DIVERGE;d27c0c02-4985-4551-8cb4-e0ed3740a26d
BRKNCRCTF000;TICKER;ISIN;FII KINEA RICI  ER;Renda Variável;FII-FIAgro;DIVERGE;60148e48-fd81-4b9a-b4f0-0ff2fc3ca858
BRKNUQCTF004;TICKER;ISIN;FII KINEA UNCI  ER;Renda Variável;FII-FIAgro;DIVERGE;e5f380d5-8758-4944-9bf0-20b2ca808d07
BRKFOFCTF006;TICKER;ISIN;FII KINEAFOFCI  ER;Renda Variável;FII-FIAgro;DIVERGE;8c84f4c2-c75e-429d-90f3-705facc2f333
BRMCCICTF008;TICKER;ISIN;FII MAUA    CI;Renda Variável;FII-FIAgro;DIVERGE;20a5ffb3-2d40-4a86-9b3a-ba0131539202
BRMCRECTF013;TICKER;ISIN;FII MAUA RE CI;Renda Variável;FII-FIAgro;DIVERGE;518e062b-891c-4791-bc5e-e5d883b38904
BRMXRFCTF008;TICKER;ISIN;FII MAXI RENCI  ER;Renda Variável;FII-FIAgro;DIVERGE;bcbb4d10-a431-4eed-b0ec-0e9866173cef
BRPVBICTF003;TICKER;ISIN;FII PVBI VBICI  ER;Renda Variável;FII-FIAgro;DIVERGE;f2cb429e-972c-461c-a168-fe37c24c173a
BRRBRLCTF001;TICKER;ISIN;FII RBRL PAXCI  ER;Renda Variável;FII-FIAgro;DIVERGE;b2c08c1d-4031-482d-a3e7-adc3e1cae756
BRRBRRCTF008;TICKER;ISIN;FII RBRR PAXCI;Renda Variável;FII-FIAgro;DIVERGE;358aa7bf-b74a-489b-823e-421ffeb160d3
BRRBRXCTF006;TICKER;ISIN;FII RBRX PAXCI;Renda Variável;FII-FIAgro;DIVERGE;433aafd0-cc18-4f1c-88ec-d509bfccd011
BRRBRYCTF004;TICKER;ISIN;FII RBRY PAXCI;Renda Variável;FII-FIAgro;DIVERGE;e6c14133-c276-4c46-858a-bb2e98bb912d
BRRECRCTF004;TICKER;ISIN;FII REC RECECI  ER;Renda Variável;FII-FIAgro;DIVERGE;8450862d-5320-444e-9d53-3ea92060a9cc
BRRBVACTF006;TICKER;ISIN;FII RIOB VA CI  ER;Renda Variável;FII-FIAgro;DIVERGE;acfcf35f-f011-43bf-a287-5b07ee227b34
BRRZAKCTF008;TICKER;ISIN;FII RIZA AKNCI;Renda Variável;FII-FIAgro;DIVERGE;3260edd3-7232-48ed-ad13-eaef20f58ea6
BRRZTRCTF003;TICKER;ISIN;FII RIZA TX CI  ER;Renda Variável;FII-FIAgro;DIVERGE;d1e6abd3-d5a4-4d17-a158-cdc4a2593614
BRTGARCTF009;TICKER;ISIN;FII TG ATIVOCI  ER;Renda Variável;FII-FIAgro;DIVERGE;59ecaab2-9e72-4722-b0fa-8d670195a801
BRTRXFCTF003;TICKER;ISIN;FII TRX REALCI  ER;Renda Variável;FII-FIAgro;DIVERGE;28448dd5-ad46-43a3-a071-1ebe49d3702e
BRVGHFCTF005;TICKER;ISIN;FII VALOR HECI  ER;Renda Variável;FII-FIAgro;DIVERGE;0a21674d-7a38-4c8b-bdd2-c3414c3ca188
BRVILGCTF001;TICKER;ISIN;FII VINCI LGCI  ER;Renda Variável;FII-FIAgro;DIVERGE;025db07d-9745-4379-9e5c-41491d2d6b90
BRVISCCTF005;TICKER;ISIN;FII VINCI SCCI  ER;Renda Variável;FII-FIAgro;DIVERGE;b4f69fc9-8d1d-4672-ae71-04658ba37e0a
BRXPMLCTF000;TICKER;ISIN;FII XP MALLSCI;Renda Variável;FII-FIAgro;DIVERGE;57fafd63-2243-419b-8481-10f839db80ff
33736845000107;CNPJ;CNPJ;HASHDEX 100 NASDAQ CRYPTO INDEX FIM;Multimercado;Alternativos;DIVERGE;2064f9e0-c9c6-4a90-b207-3a20aa37f466
33736873000116;CNPJ;CNPJ;HASHDEX 20 NASDAQ CRYPTO INDEX FICFIM;Multimercado;Alternativos;DIVERGE;7d571122-b4cd-479a-9994-5b978db31201
35088108000162;CNPJ;CNPJ;HASHDEX 40 NASDAQ CRYPTO INDEX FICFIM;Multimercado;Alternativos;DIVERGE;771b2f28-3a86-409f-8011-fdc880e534a6
36986672000165;CNPJ;CNPJ;HASHDEX BITCOIN FICFIM;Multimercado;Alternativos;DIVERGE;4d331a29-8951-4532-a864-0029535e19d7
44417431000123;CNPJ;CNPJ;HASHDEX ETHEREUM FIM;Multimercado;Alternativos;DIVERGE;df8cd0fb-2f9e-42f2-b1a7-8c89fb09f92a
BRHASHCTF018;TICKER;ISIN;HASHDEX NCI CI;Renda Variável;Alternativos;DIVERGE;d327f012-c7de-4296-b47e-ef97eb32e535
47612737000129;CNPJ;CNPJ;Hidra CDI FICFIInfraRF;FII-FIAgro;RF - Pós-fixado;DIVERGE;30e0c80d-bde2-44aa-8a82-fa4e8cac1bfa
BRLFTBCTF002;TICKER;ISIN;INVESTO LFTBF11;Renda Variável;RF - Pós-fixado;DIVERGE;41fade26-6eca-44ad-a5ee-9420da6aeb93
BRUSDBCTF000;TICKER;ISIN;INVESTO USDBCI;Renda Variável;Internacional - Pós-fixado;DIVERGE;25fcba8e-1eee-4b88-9ba4-5e3202dc7dd0
BRWRLDCTF007;TICKER;ISIN;INVESTO WRLDCI;Renda Variável;Internacional - Renda Variável;DIVERGE;dfb9c91e-e42b-47dd-a19b-fd2d05f508cc
12082452000149;CNPJ;CNPJ;IP Participações IPG FIC FIA RL;Multimercado;Renda Variável;DIVERGE;c6a058b0-db8d-44f9-a8a8-409867e5121e
BRIVVBCTF001;TICKER;ISIN;ISHARE SP500CI;Renda Variável;Internacional - Renda Variável;DIVERGE;b7809dbe-b5cd-4d5c-8ad2-ab7c6f28acd8
BRB5P2CTF001;TICKER;ISIN;IT NOW B5P2 F11;Renda Variável;RF - Inflação;DIVERGE;11d8768d-f287-4b2c-bc39-414f0758a7d1
BRIMABCTF004;TICKER;ISIN;IT NOW IMA-BF11;Renda Variável;RF - Inflação;DIVERGE;6d284cd8-4c66-4549-bfba-6576d8522c8a
BRIRFMCTF009;TICKER;ISIN;IT NOW IRF-MF11;Renda Variável;Multimercado;DIVERGE;18918bc3-c71d-47f6-8344-5e971af9bc48
52342951000142;CNPJ;CNPJ;ITAU JANEIRO RF DISTRIBUIDOS FICFI;Multimercado;RF - Pós-fixado;DIVERGE;5ca3cb51-264d-4799-ae4f-d7c7daf22969
55204781000128;CNPJ;CNPJ;JGP ECOSSISTEMA FIC FDS INC INV INFRA II;Multimercado;RF - Inflação;DIVERGE;ebe4e204-dd3d-470c-bc1b-f4af1854ab29
39586858000115;CNPJ;CNPJ;KINEA IPCA DINÂMICO II FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA;Multimercado;RF - Inflação;DIVERGE;8e68e8cb-6320-426c-b77e-05e41edaff0c
32990051000102;CNPJ;CNPJ;KINEA OPORTUNIDADE FIRF CrPr SUBCLASSE I;Multimercado;RF - Pós-fixado;DIVERGE;1e695e15-a8f9-4fb4-b02f-b51940fa7f0d
23600995000127;CNPJ;CNPJ;MORE PREMIUM CRED CORP RF CrPr LP;Multimercado;RF - Pós-fixado;DIVERGE;5b908418-80b7-44ee-a36e-41d36055beb5
51253495000100;CNPJ;CNPJ;Mapfre Confianza DI FIRFRef CrPr;Multimercado;RF - Pós-fixado;DIVERGE;7d25f7ee-2720-4563-b03b-7451ccaccc66
09601190000177;CNPJ;CNPJ;Nikos Ouro FIM;Multimercado;Alternativos;DIVERGE;bbf01fab-c60c-43b8-8840-5be60e84ec2f
17400251000166;CNPJ;CNPJ;ORGANON FICFIA;Multimercado;Renda Variável;DIVERGE;897583c5-a1b6-4ea7-bfc7-02f03dfddcf9
54344616000109;CNPJ;CNPJ;Occam Ativo 30 Incentivado Infra FIRF CP;Multimercado;RF - Inflação;DIVERGE;e30b96f1-d3ae-48b5-95c0-aaf8758965e9
46098897000139;CNPJ;CNPJ;Occam Liquidez FICFIRF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;fc55c47a-f64b-476b-b662-af6f85ab050c
49983891000132;CNPJ;CNPJ;Patria Credito Estrutura 365 FICFIM CrPr;Multimercado;RF - Pós-fixado;DIVERGE;7044864d-8df4-4e97-9b45-3bbe347a56d1
18719154000101;CNPJ;CNPJ;Porto DI CrPr FIRef;Multimercado;RF - Pós-fixado;DIVERGE;5a625715-1c2a-4375-852d-9364f62c8063
BRCDIICTF012;TICKER;ISIN;SPARTA CDII CI  ER;Renda Variável;RF - Pós-fixado;DIVERGE;0b641db1-8d6f-4f18-addb-3e5c83653774
50038992000114;CNPJ;CNPJ;SPARTA DEB INCENTIVADAS ESTR FICINFRA RF;Multimercado;RF - Inflação;DIVERGE;a8af824e-b5e7-4ace-aad7-1002aabecf56
BRJUROCTF002;TICKER;ISIN;SPARTA INFRACI  ER;Renda Variável;RF - Pós-fixado;DIVERGE;f46a143c-2192-48bb-911e-67159e9b12d2
12923387000137;CNPJ;CNPJ;SPARTA PREMIUM FICFIRF;Multimercado;RF - Pós-fixado;DIVERGE;462e84ef-8cd7-43ec-a2f3-42f83000041f
14188162000100;CNPJ;CNPJ;SPARTA TOP FIC RF CrPr LP;Multimercado;RF - Pós-fixado;DIVERGE;e8db9d1e-2be4-453c-ac60-7bd2f8c124eb
35343590000130;CNPJ;CNPJ;SPX SEAHAWK FICFIRF CrPr LP ACCESS;Multimercado;RF - Pós-fixado;DIVERGE;95f12876-9842-459f-87e2-e9569446be57
23502654000119;CNPJ;CNPJ;SUL AMERICA RETORNO TOTAL FIRF LP;Multimercado;RF - Pós-fixado;DIVERGE;d386e426-fd80-4798-9833-5ae0a84281f2
47715703000160;CNPJ;CNPJ;SULAMERICA PREMIUM PLUS FIRF REF DI CrPr;Multimercado;Caixa;DIVERGE;c20dedd3-57a9-4861-9b55-89932d93ffdc
12796232000187;CNPJ;CNPJ;Safra Agilite FIRF CrPr RL;Multimercado;RF - Pós-fixado;DIVERGE;86f7f56d-331e-4f8d-b116-3e3b989e07ca
02536364000116;CNPJ;CNPJ;Safra DI Master FIRFRefDI LP;Multimercado;RF - Pós-fixado;DIVERGE;4126263b-69ba-4c30-9bf8-f3dfb379051d
52242738000169;CNPJ;CNPJ;Safra Extra Bancos Special FICFIRF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;a9e5a9cf-311c-4f94-80c6-bbf656054a00
36352361000144;CNPJ;CNPJ;Sparta Debentures Incent 45 FICFIIIRF;FII-FIAgro;RF - Pós-fixado;DIVERGE;585dfeac-aca0-4fa2-b0dc-929215d23224
39959025000152;CNPJ;CNPJ;Sparta Debentures Incent IPCA FICFIIIRF;FII-FIAgro;RF - Inflação;DIVERGE;01afe439-a4fd-4419-9168-bdd1d3985ece
54426679000104;CNPJ;CNPJ;Sparta Renda Incentivado Infra FIRF RL;Multimercado;RF - Pós-fixado;DIVERGE;41bfbee9-d9b0-45f3-946a-786996a74a7d
04899128000190;CNPJ;CNPJ;Sul America Excellence FIRF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;2ab6bb86-0996-406a-bd3f-1d83493f9a51
42922205000174;CNPJ;CNPJ;TARPON GT 90 FICFIA;Multimercado;Renda Variável;DIVERGE;2e16d1a4-a4df-416d-b850-f10fb5c146d7
BRGOLDCTF015;TICKER;ISIN;TREND OURO  CI;Renda Variável;Alternativos;DIVERGE;d76a733a-665f-47a3-bee8-1731a9555695
42774627000140;CNPJ;CNPJ;V8 CASH PLATINUM FIC RF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;4acb10a0-5bd0-4efb-9e3f-63b579480a59
58398452000153;CNPJ;CNPJ;V8 Mercury FIRF CrPr LP RL;Multimercado;RF - Pós-fixado;DIVERGE;2ff0ba26-aa73-4d99-84ec-8aa565e76625
17453850000148;CNPJ;CNPJ;WESTERN ASSET US INDEX 500 FIM;Multimercado;Internacional - Renda Variável;DIVERGE;f275e47e-2f78-4e5e-a38a-da3045e27695
49983964000196;CNPJ;CNPJ;Western Credito Bancario Plus FIRF CrPr;Multimercado;RF - Pós-fixado;DIVERGE;f6dc4c7e-1df9-4c62-8b0c-56621c7f7926
57832914000136;;CNPJ;A1 High Grade Pós Fixado Feeder 2 FIF RF;Multimercado;;SEM_COBERTURA_BASE2;b9adb3b0-8a55-4456-845a-3de5d0841ac4
BRALOSACNOR5;;ISIN;ALLOS       ON      NM;Renda Variável;;SEM_COBERTURA_BASE2;10e8772c-0c0a-4762-bf57-6c10f3759bd1
59116601000107;;CNPJ;ARTESANAL BTG CDI FIC DE FIDC RL;Multimercado;;SEM_COBERTURA_BASE2;86ee9549-0952-48fe-9178-54695993cc47
57812456000173;;CNPJ;ARTESANAL CDI FIC FIDC II RL;Multimercado;;SEM_COBERTURA_BASE2;769575a0-7b57-4cd9-8f80-226a3b2b47ae
54869435000104;;CNPJ;ARX CHILLON REC FII;FII-FIAgro;;SEM_COBERTURA_BASE2;929d6f45-9951-40bb-a675-6c5b3363b2b4
52286231000107;;CNPJ;ARX FUJI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO;Multimercado;;SEM_COBERTURA_BASE2;e38b8c40-0c64-47b9-9140-ad9325919680
62362591000102;;CNPJ;AZ QUEST - PRE - INFRA-YIELD IX FIP INFR;Multimercado;;SEM_COBERTURA_BASE2;37470255-747a-46a1-be49-80d6978ce554
